actual_price,predicted_price,residual,absolute_error,percentage_error,signed_percentage_error,price_band
25888.0,28880.486,-2992.486328125,2992.486328125,11.55935695351128,-11.55935695351128,Mid
20990.0,24758.307,-3768.306640625,3768.306640625,17.952866320271557,-17.952866320271557,Low
19900.0,21722.291,-1822.291015625,1822.291015625,9.15724128454774,-9.15724128454774,Low
14950.0,15722.136,-772.1357421875,772.1357421875,5.164787573160535,-5.164787573160535,Low
7999.0,9552.104,-1553.103515625,1553.103515625,19.416220972934116,-19.416220972934116,Low
13999.0,17866.729,-3867.728515625,3867.728515625,27.62860572630188,-27.62860572630188,Low
39500.0,49507.484,-10007.484375,10007.484375,25.33540348101266,-25.33540348101266,High
4990.0,7394.934,-2404.93408203125,2404.93408203125,48.19507178419339,-48.19507178419339,Low
29990.0,20629.492,9360.5078125,9360.5078125,31.212096740580193,31.212096740580193,Mid
70998.0,62116.215,8881.78515625,8881.78515625,12.509908949899998,12.509908949899998,High
18995.0,20658.355,-1663.35546875,1663.35546875,8.756806889971044,-8.756806889971044,Low
74873.0,63159.5,11713.5,11713.5,15.644491338666807,15.644491338666807,High
9499.0,8797.692,701.3076171875,701.3076171875,7.382962598036635,7.382962598036635,Low
47990.0,48691.934,-701.93359375,701.93359375,1.4626663758074598,-1.4626663758074598,High
43888.0,36545.51,7342.48828125,7342.48828125,16.73005897113106,16.73005897113106,High
33888.0,34421.133,-533.1328125,533.1328125,1.5732200557719547,-1.5732200557719547,Mid
13999.0,14603.815,-604.8154296875,604.8154296875,4.320418813397386,-4.320418813397386,Low
35499.0,27842.186,7656.814453125,7656.814453125,21.569098997506973,21.569098997506973,Mid
54990.0,68670.445,-13680.4453125,13680.4453125,24.87806021549373,-24.87806021549373,High
94990.0,82429.57,12560.4296875,12560.4296875,13.222896818086113,13.222896818086113,High
12990.0,17385.92,-4395.919921875,4395.919921875,33.84080001443418,-33.84080001443418,Low
59990.0,55502.48,4487.51953125,4487.51953125,7.4804459597432915,7.4804459597432915,High
9995.0,10134.89,-139.8896484375,139.8896484375,1.3995962825162582,-1.3995962825162582,Low
21950.0,24264.58,-2314.580078125,2314.580078125,10.54478395501139,-10.54478395501139,Low
26990.0,25873.633,1116.3671875,1116.3671875,4.136225222304557,4.136225222304557,Mid
16980.0,14631.112,2348.8876953125,2348.8876953125,13.833260867564782,13.833260867564782,Low
14987.0,12363.132,2623.8681640625,2623.8681640625,17.50762770442717,17.50762770442717,Low
39888.0,42706.605,-2818.60546875,2818.60546875,7.06629930994284,-7.06629930994284,High
50965.0,66413.586,-15448.5859375,15448.5859375,30.312147429608554,-30.312147429608554,High
37500.0,47461.01,-9961.01171875,9961.01171875,26.562697916666668,-26.562697916666668,Mid
9990.0,13066.66,-3076.66015625,3076.66015625,30.797398961461464,-30.797398961461464,Low
24999.0,29927.35,-4928.349609375,4928.349609375,19.7141870049802,-19.7141870049802,Mid
16413.0,21306.898,-4893.8984375,4893.8984375,29.81720853896302,-29.81720853896302,Low
24585.0,24836.516,-251.515625,251.515625,1.02304504779337,-1.02304504779337,Mid
86681.0,73236.07,13444.9296875,13444.9296875,15.510815158454564,15.510815158454564,High
28990.0,24192.117,4797.8828125,4797.8828125,16.5501304329079,16.5501304329079,Mid
35999.0,29717.678,6281.322265625,6281.322265625,17.44860208790522,17.44860208790522,Mid
33990.0,27626.64,6363.359375,6363.359375,18.72126912327155,18.72126912327155,Mid
29999.0,34547.387,-4548.38671875,4548.38671875,15.161794455648522,-15.161794455648522,Mid
21995.0,21749.508,245.4921875,245.4921875,1.1161272448283701,1.1161272448283701,Low
25990.0,26814.475,-824.474609375,824.474609375,3.1722762961716042,-3.1722762961716042,Mid
28990.0,30923.676,-1933.67578125,1933.67578125,6.670147572438773,-6.670147572438773,Mid
